apkname,actividades,proveedor_contenido,receptor_mensajes,servicios,urls,filtros_intent,api_restringidas,api_sospechosas,permisos_solicitados,permisos_usados,uses-feature
com.androidrocker,2,0,1,1,0,4,0,2,8,1,0
co.lvdou.livewallpaper,3,0,0,1,0,2,6,6,6,2,0
com.andromo.dev378700,5,0,0,0,0,1,5,3,2,2,1
com.mm.ys,19,0,1,0,1,8,2,11,20,10,2
com.babelprov,1,0,0,0,0,1,0,0,7,0,0
com.deex.navd,2,0,3,1,0,14,0,0,30,0,0
com.lezuogame.fgyxji,4,0,0,0,0,1,0,1,9,0,0
co.kr.sess21,5,0,0,0,0,1,11,3,2,2,0
com.MacrameBagDesign.sinabil,3,0,0,0,0,1,8,2,2,2,0
com.greetingcardshop.i.call.scree.free.dialer,17,0,2,2,0,6,2,7,26,6,1
com.androdev22.muslimahdresses,3,0,0,0,0,1,4,2,2,2,0
com.dinapp,5,0,0,0,0,1,10,3,2,2,0
com.hardbass.volumeup.soundbooster.volumebooster,6,0,4,1,0,5,3,8,8,3,0
com.MinimalistCupboardDesign.PajrApp,3,0,0,0,0,1,8,2,2,2,0
com.hardwareInfo.android.howfhe,22,0,5,2,0,4,0,2,17,0,2
com.fabrrsfafs.fa,11,0,0,0,0,1,0,2,13,0,0
classicrock.music,2,0,0,0,0,1,8,2,2,2,0
com.asem.contactfilter,9,0,3,1,0,9,5,8,13,9,0
co.lvdou.livewallpaper,3,0,0,1,0,2,3,6,6,2,0
ch.crisi,6,0,0,0,0,1,4,7,3,1,0
com.IdeColorBedroomWalls,3,0,0,0,0,1,4,2,2,2,0
com.appbuilder,157,0,3,5,0,14,0,6,17,6,0
com.hate.iphonedevice,1,0,0,0,0,1,0,0,4,0,0
br.com.wecare.pid.pidwecare,2,0,0,0,0,1,5,4,2,1,0
com.ayurmedapp,4,0,0,0,0,1,14,7,9,6,0
com.andromo.dev23019,5,0,0,0,0,1,9,7,2,2,1
com.batampos.epaper,1,0,0,0,0,1,1,1,2,0,0
aimoxiu.theme.mxddd4f5aed7842f0ebe6025b8d11df54f,1,0,0,0,0,1,0,5,8,4,0
com,2,0,1,1,0,4,8,4,9,3,0
com.andromo.dev130378,39,0,1,36,0,9,1,4,4,3,1
badner,1,0,0,0,0,1,11,2,0,0,0
com.aftgg,6,0,1,1,1,3,7,5,5,2,1
com.dfghjktyu.yydfvA952024CFFBE32DD2FA969828898E29F2BB7E6F7,2,0,3,3,0,18,0,4,17,1,0
com.polarbit.ragingthFJKSGUOS,2,0,1,1,0,2,0,1,10,0,0
com.android.scsd,31,0,3,2,0,11,5,6,11,7,0
cm.clean.master.ram.du.speed.booster,10,2,7,8,1,12,19,7,14,5,0
com.bukuoryzaee.pooroutlook,5,0,0,0,0,1,20,7,3,3,0
com.fatesky.jappka.batariapro,17,0,10,12,0,5,0,6,19,3,0
clean.android,1,0,0,0,0,1,0,0,7,0,0
com.auybbb,17,0,5,3,2,9,4,10,44,7,0
com.lwp.memorylane.blackcat,7,0,1,2,0,4,17,7,8,4,1
com.ballistic,4,0,1,0,0,4,0,7,9,7,5
alei.switchprodayfgrdgdghtfefs,20,0,9,1,0,36,0,9,33,10,5
com.i4evercai.fhowfw,30,0,0,2,0,2,0,2,17,0,2
com.appslock,6,0,3,1,0,4,1,3,8,5,2
com.hayatouki.zayton,3,0,0,0,0,1,9,3,2,2,0
cn.eceiehe,1,0,1,1,0,2,0,6,10,3,0
aimoxiu.theme.mx45dc05da0eee982eb9b2e38e70f9e240,1,0,0,0,0,1,0,5,8,4,0
appscanyon.fastcharger.battery,2,0,2,1,0,3,7,4,18,8,0
com.ggnes.nekketsusoccerleagueofefes,2,0,2,1,0,3,5,3,10,0,0
anace.com.audiobooks.investing,4,0,0,0,0,1,17,5,2,2,0
amg,9,0,0,0,0,1,8,3,2,2,0
bth.studio.englishgrammarandvocabulary,9,0,2,1,0,3,4,4,6,5,0
com.DesignSchoolUniform.hyuapp,3,0,0,0,0,1,8,2,2,2,0
com.ifykk.cn,7,0,0,0,0,1,20,7,4,1,0
com.kmb.BeautifulNailArt,3,0,0,0,0,1,4,2,2,2,0
XzzTgJM.DAizR.JCRmvMS,11,0,3,9,0,25,0,0,83,0,0
com.joelnetwork.official,2,0,0,0,0,1,7,2,6,3,0
com.bedtime,4,0,0,0,0,1,6,3,7,4,0
childhood.dream.pink.girl.typany.u7000000581,6,0,2,0,0,4,8,7,9,4,0
air.Escapezone15ZebraEscape,2,0,0,0,0,1,2,3,5,3,0
com.m.android.data,2,0,2,0,1,5,0,3,13,3,0
com.andromo.dev283381,10,0,1,9,0,9,1,4,4,3,1
aimoxiu.theme,1,0,0,0,0,1,0,5,8,4,0
com.android,11,1,4,9,0,24,0,3,34,1,0
com.bukuoryzaee,4,0,0,0,0,1,16,5,3,3,0
com.bukuoryzaee.slepingugly,4,0,0,0,0,1,16,5,3,3,0
com.cqsoluciones.radio,1,0,0,1,2,1,14,2,1,0,0
