,apkname,actividades,proveedor_contenido,receptor_mensajes,servicios,urls,filtros_intent,api_restringidas,api_sospechosas,permisos_solicitados,permisos_usados,uses-feature,malware
4445,com.carmeihua,5,1,1,2,0,4,0,3,16,1,0,False
4446,com.futurecomes.android.alterdf,6,2,2,2,0,3,3,5,12,3,2,True
4447,com.qavx.nfqi.mmuk,14,0,3,2,0,10,3,7,22,5,1,True
4448,com.canwikamobile.resepmasakanmanado,3,0,0,0,0,1,5,2,2,2,0,True
4449,ch.pboos.android,11,0,5,1,0,10,5,6,11,9,1,False
4450,com.andromo.dev232445,26,0,1,16,0,16,1,4,5,3,1,False
4451,com.dayoftheshirt,3,0,0,0,0,1,9,6,3,3,0,False
4452,com.example.kitchenexpress,66,1,9,10,0,24,0,2,24,0,0,True
4453,com.appyown,6,0,0,0,0,1,10,5,4,2,0,False
4454,com.jpioiea.HLguessCMYEC2447F5BD86D47638EACC675F940A14D96EBDBA,10,0,0,4,0,1,0,2,7,0,0,True
4455,com.KumpulanLagusheilaonseven.madedroid,3,0,0,0,0,1,8,2,2,2,0,True
4456,com.borisenkoda,6,0,2,2,0,14,5,3,14,6,2,False
4457,com.TipsMenambahTinggiBadan.rondiahndroid,3,0,0,0,0,1,8,2,2,2,0,True
4458,com.br,3,0,0,0,1,1,8,3,2,1,0,False
4459,com.AppssppA.iGrammar,3,0,7,4,0,15,0,11,35,9,0,True
4460,com.cxym.shike,6,1,0,2,0,1,0,2,4,0,0,True
4461,com.antares,2,0,0,0,0,1,11,2,0,0,0,False
4462,b4a,1,0,0,0,0,1,17,8,0,0,0,False
4463,com,3,0,2,1,0,4,6,5,6,3,0,False
4464,com.alexandrud,59,0,1,1,0,7,4,5,2,2,0,False
4465,com.joanna.idiomMMD,10,0,0,4,1,2,1,5,8,4,0,True
4466,com.elfswipeCDCEF63EA226568BABAF5BF20DD6C5F299623D2A,7,1,3,5,0,10,12,7,15,5,1,True
4467,btc.estatutotributariofree.app,2,0,0,0,0,2,14,2,1,0,0,False
4468,com.nestik.interview,3,0,0,0,0,1,8,2,2,2,0,True
4469,com.Rank.Vicecity,8,0,0,0,0,1,5,3,2,2,1,False
4470,com.admob,5,0,0,0,0,1,6,2,2,2,0,False
4471,appinventor.ai_plados.Florian,1,0,0,0,0,1,30,7,3,3,0,True
4472,au.com.pocketware,6,0,0,1,0,1,1,4,5,2,0,False
4473,com.kids.kousuan,11,0,0,5,1,2,1,5,9,2,0,True
4474,big,2,0,0,0,0,1,14,2,2,0,0,False
4475,com.fidelis.clapk,1,0,0,0,0,1,1,1,4,0,0,True
4476,com.rem.dropletshield2,4,0,1,1,0,2,20,11,7,5,0,True
4477,com.doelsumbang,3,0,0,0,0,1,8,2,2,2,0,False
4478,appinventor.ai_zaenal77hafid.TYDOLLASIGN,3,0,0,0,0,1,34,9,4,4,0,True
4479,appinventor.ai_kyunghansong4437.amharicsermons,1,0,0,0,0,1,30,8,3,3,0,False
4480,appinventor.ai_siddharth_mbd.jeevanutthan,1,0,0,0,1,1,30,8,3,3,0,False
4481,com.gucdxj.sudhfhsdhfdd8ACBCBFF4642E23F718AC1B2344178A45BD671E7,3,0,0,1,0,1,2,5,9,2,0,True
4482,com.android.udsea,4,0,3,1,0,9,0,1,19,0,0,True
4483,com.ovaa.sozh,1,0,1,1,0,10,0,0,32,0,0,True
4484,com.dyTECapp.planegame,4,0,1,1,0,2,0,2,8,0,0,True
4485,com.androidemu,14,0,2,5,0,7,0,7,17,9,3,False
4486,cal.byzm.anzhii,2,0,1,1,0,3,0,0,12,1,0,False
4487,com.androdev22.captionigromance,3,0,0,0,0,1,4,2,2,2,0,True
4488,com.Harbor.freightapp.us,2,0,0,0,0,1,32,8,6,4,0,False
4489,com.hd.android3D0F5C24F76917FB71BCD0251D3501937598200C,4,0,1,8,0,3,0,1,22,0,0,True
4490,com.bredir.boopsie,16,0,0,0,0,5,6,5,5,1,6,False
4491,com.a446172451c29d189c3958a,10,0,3,2,0,5,7,9,11,6,2,False
4492,com.kubao.android.activity,9,0,0,0,0,1,0,2,8,0,0,True
4493,com.andromo.dev308822,9,0,0,0,0,1,5,3,2,2,1,False
4494,com.bass.fishing.wallpapers,8,0,1,1,0,2,19,8,11,9,0,True
4495,com.desa,1,0,0,0,0,1,0,0,2,0,0,False
4496,com.liubo.tylerbook8035032ABCEBE36A79049D70DAC1AC5FE159373B,12,1,1,1,0,2,4,7,10,6,2,True
4497,com.ltc.unicorn.emojis,3,0,0,0,0,1,19,7,6,5,0,True
4498,com.ecapycsw.mtudfer,2,0,1,1,0,2,0,2,10,1,0,True
4499,ch.dlpdb,2,0,0,0,0,1,15,7,6,4,0,False
4500,com.liwenzhi_calendar.activity,10,1,1,4,0,1,0,3,2,0,0,True
4501,aibpj.ehjcd.fejkn.ibfbb.lbbkk,7,0,3,3,3,9,3,11,31,10,0,True
4502,com.androapplite.localtheme13,1,0,0,1,0,1,2,3,4,1,0,False
4503,com.cqsoluciones.radio,2,0,0,1,2,1,14,4,1,0,0,False
