,apkname,actividades,proveedor_contenido,receptor_mensajes,servicios,urls,filtros_intent,api_restringidas,api_sospechosas,permisos_solicitados,permisos_usados,uses-feature,malware
1470,com.digital_dev,11,0,0,0,0,1,14,4,2,2,0,False
1471,com.apksonline,7,0,1,1,0,1,7,10,13,7,0,False
1472,com.Asky.BakersfieldRadio,21,0,1,19,0,9,3,5,4,3,1,False
1473,cn.gamedog.survivalwarchinaassist,48,1,4,9,3,17,11,11,19,10,0,True
1474,a.txxw.yuqi,9,0,0,0,0,1,31,8,4,1,1,False
1475,com.example.flashliJUIHKL,7,0,5,6,0,4,2,5,13,2,0,True
1476,com.PendantPendantDesign.doaibugroup,3,0,0,0,0,1,8,2,2,2,0,True
1477,com.bukuoryzaee,5,0,0,0,0,1,20,7,3,3,0,False
1478,andhamil.droid,2,0,0,0,0,1,11,3,4,1,0,False
1479,com.exasdfple.itcompanyzaq2,12,0,1,1,0,2,2,5,7,1,0,True
1480,com.jgd.bpfrpd,22,0,0,0,0,3,0,0,17,0,0,True
1481,bjiPXJy.HFWhza.nDYfAHM,10,0,3,8,0,25,0,0,83,0,0,True
1482,com.digitalcoupon.club,4,0,0,0,0,1,8,3,2,2,0,True
1483,com.apphitnow,2,0,0,0,0,1,8,4,4,2,0,False
1484,com.ck.services85CD6817CC31883BA1B67827E0E0445C29F6618C,0,0,1,2,0,5,0,7,36,8,0,True
1485,com.FrankieValliLyrics.fittibs,3,0,0,0,0,1,8,2,2,2,0,True
1486,com.ApronDesign.evieapp,3,0,0,0,0,1,8,2,2,2,0,False
1487,com.azmovebamo.bambooA26315DD1FB6854EEF6936692466FB4669449AD0,3,0,1,0,0,1,0,3,8,0,0,True
1488,com.DesignJacket.sipipit,3,0,0,0,0,1,8,2,2,2,0,True
1489,appinventor.ai_mike,3,0,0,0,0,1,24,8,3,3,0,False
1490,apps,11,0,0,0,0,1,4,2,2,2,0,False
1491,com.hd.android3895E1AEF315E7C47A017E65FBD0C84AA445667B,4,0,1,8,0,3,0,1,22,0,0,True
1492,com.aadi53,2,0,0,0,0,1,6,4,3,2,0,False
1493,com.airandclock.byscmemene.zh.bac052AFB89B8ECAD37369A5C6E711185EB2F362D32,5,1,1,1,0,6,2,6,16,3,0,True
1494,com.burccz,14,0,0,0,0,1,8,3,3,2,0,False
1495,com.PaperFlowerTutorial.Bensol,3,0,0,0,0,1,4,2,2,2,0,True
1496,com.lwh.pedometer,12,1,4,4,0,12,0,2,18,0,1,True
1497,com.babydressideas,3,0,0,0,0,1,8,2,2,2,0,False
1498,com.fridgecat.android.dkwonvhjg,23,0,1,1,0,2,4,7,9,2,2,True
1499,com.burin,31,1,9,21,11,33,0,13,33,10,0,False
1500,com.LogOvoide.Horoscope_Taureau,6,0,0,1,0,1,16,6,4,2,2,False
1501,com.domobile.qslapplock,15,0,2,6,0,5,0,6,9,3,0,True
1502,com.atejapps,3,0,6,5,0,9,15,11,9,5,0,False
1503,com.anxa,4,0,0,0,0,1,3,2,3,2,0,False
1504,com.android.qiushui.app.runpnnewni6AE947EBB94374149133A5A84255B4FF6DA37F22,6,0,1,2,0,2,1,3,10,2,0,True
1505,album,5,0,2,2,0,2,8,7,5,4,0,False
1506,com.diamonddesigns.riplowdroids,3,0,0,0,0,1,4,2,2,2,0,True
1507,br.com.gbvb3ahia.defendthecake,3,0,1,1,0,2,4,4,11,2,0,True
1508,com.gucdxjstopwathch829E1726B4E749A16710A076D0018859778B5715,4,0,0,4,0,2,0,6,12,3,0,True
1509,com.br,1,0,0,0,0,1,0,0,2,0,0,False
1510,com.DIYChristmasgifts,3,0,0,0,0,1,4,2,2,2,0,False
1511,com.fatesky.dictapps.notepad.color.note,23,1,7,8,0,31,0,6,11,3,1,True
1512,com.junnet.heepay,17,0,0,1,1,2,10,10,10,3,0,True
1513,com.a131566623650450521138256a,8,0,0,0,0,1,15,7,8,6,2,False
1514,com.passoffice,22,0,0,1,0,1,0,6,9,3,0,True
1515,com.bolaocopa,8,0,0,0,0,1,4,4,4,1,0,False
1516,com.android.dgl.stopwatch,3,0,0,1,0,1,2,6,9,4,0,True
1517,com.andromo.dev6860,16,1,0,1,0,1,4,3,3,2,1,False
1518,com.owuwej.tangshi,8,1,0,2,0,1,0,6,11,3,1,True
1519,com.msxf.app87983,5,0,0,0,0,1,3,6,10,3,0,True
1520,com.amanrajapps,5,0,0,1,0,3,10,7,7,5,2,False
1521,com.andriod.fb,106,51,4,6,0,9,0,2,188,0,2,False
1522,com.frankysahilatua.thejoker,3,0,0,0,0,1,9,3,2,2,0,True
1523,at.appscore,21,0,0,0,0,1,8,3,2,2,0,False
1524,appinventor.ai_plados.Szafarze,1,0,0,0,0,1,30,7,3,3,0,True
1525,biz.nimeishow,7,0,6,11,0,10,1,4,13,2,0,False
1526,aimoxiu.theme,1,0,0,0,0,1,0,5,8,4,0,False
1527,com.opda.actionpoint,18,0,11,13,3,28,0,9,34,11,0,True
1528,com.dineshreddy.status4F560CCCC9BB0E533D2C57E0705C5D379078DD6F,79,0,1,1,2,73,12,7,8,5,0,True
1529,com.azcnsz,10,0,4,3,0,7,0,8,13,8,0,False
1530,com.appzone2016,4,0,0,0,0,1,14,4,3,3,0,False
1531,app.peamobile.com,4,1,4,5,0,6,1,4,10,5,0,True
1532,com.NEWdearapp.CrazyThief6F74E7EB81F14EBBBB51A8EC9AAC502504D6264D,3,0,1,1,0,2,0,2,8,0,0,True
1533,com.hola.multiaccount,132,63,73,69,0,33,0,8,222,10,2,True
1534,com.droidmedic.diabetescookbook,8,1,3,5,0,6,5,5,10,5,0,True
1535,com.DarsoLaguSundamp3.HaturApps,3,0,0,0,0,1,8,2,2,2,0,True
1536,apps.infinite,5,0,0,0,0,1,15,4,2,2,0,False
1537,com.android.pentatonix1875F23519EC06EECD702542A9EB7F4519FC9909,7,0,4,2,0,22,0,0,27,0,0,True
1538,com.dcc.newminisevenqione,9,0,3,7,0,7,2,3,16,2,3,False
1539,blue.water,5,0,0,0,1,2,0,5,16,4,0,False
1540,biz.eceieg,3,0,1,1,0,2,0,6,10,3,0,False
1541,com.dwmt.website2apk,1,0,0,0,0,1,0,0,7,0,0,True
1542,appinventor.ai_najih94izzan.NEILDIAMON,3,0,0,0,0,1,35,8,4,4,0,False
1543,cc,2,0,1,3,1,26,4,8,13,5,0,False
1544,appinventor.ai_estudillochris17.firstapp,2,0,0,0,0,1,30,7,4,3,0,True
1545,com.mh.faststart,7,0,3,2,0,11,0,6,8,3,0,True
1546,com.ghonga.KidPaintPlus,4,0,1,1,0,2,0,1,8,0,0,True
1547,com.neetu.ussdstrings,7,1,4,1,1,3,15,7,7,4,0,True
1548,com.co.mp.ass.cs,5,0,0,5,0,1,0,6,10,3,0,True
1549,com.mopote.app.market51EFDD4D97771E957C43A486FC0DDEF4E2E5475D,7,0,1,3,0,6,6,10,18,6,0,True
1550,ccc.chess.engine,2,0,0,1,0,2,0,3,0,0,0,False
1551,com.newminizysevenqi.fanyi,7,0,1,4,0,3,0,6,13,4,0,True
1552,biz.ecegekeh,1,0,1,1,0,2,0,6,10,3,0,False
1553,com.andrarespati.thejoker,3,0,0,0,0,1,9,3,2,2,0,True
1554,appinventor.ai_a_fossa.step4,4,0,0,0,0,1,30,8,3,3,0,True
1555,com.RealisticDrawingTutorials.tameng,3,0,0,0,0,1,9,3,2,2,0,True
1556,com.agencia,1,1,4,5,0,6,0,3,10,4,0,False
1557,com.Call.recorder.autoatrassii,6,0,2,1,0,2,6,2,9,4,0,False
1558,com.Engrosbil.dk,12,0,0,0,1,1,3,5,6,2,0,False
1559,com.appyourself,2,0,1,1,0,3,2,5,13,6,0,False
1560,com.kingsoft.dxjxrr951,6,0,1,2,0,2,0,2,10,0,0,True
1561,com.andromo.dev314697,6,0,0,0,0,1,4,3,2,2,1,False
1562,com.cashcrate,1,0,0,0,0,1,0,1,7,1,0,False
1563,appinventor.ai_jfand72.StaticFrictionExperiment,1,0,0,0,0,1,28,7,6,4,0,False
1564,com.hosomakisushilivewallpaper7269331,7,0,1,2,0,4,17,7,8,4,1,True
1565,cc.vicp.hotapp.fakecall.gucdxj,11,0,2,1,0,2,0,2,10,0,0,True
1566,com.Lovlydev.qissasstudio,7,0,0,0,0,1,12,3,3,2,0,False
1567,com.rian.persamaangarissinggung,2,0,0,0,0,1,7,2,6,3,0,True
1568,com.Tutorcraftideassimplestraws.nikoapps,3,0,0,0,0,1,4,2,2,2,0,True
1569,com.TipsMenghilangkanAlergi.rondiahndroid,3,0,0,0,0,1,8,2,2,2,0,True
1570,com.aws.country,1,0,0,0,1,1,0,4,12,1,0,True
1571,com.halo.browser,11,3,5,2,0,21,3,9,12,9,0,True
1572,app.tajikusjiepai522DB71756410EBA94B5D9C155274FDD34F1338F,9,0,1,1,1,2,0,4,13,4,0,True
1573,com.burakulker,9,0,0,0,0,8,2,3,2,1,0,False
1574,com.coach,19,0,0,0,0,1,0,6,14,3,2,False
1575,com.qmtiku.categoryId_3,26,1,3,4,0,7,0,6,18,3,0,True
1576,com.lebo.jason.game.deftrttjdhtnga,5,0,1,1,0,2,2,1,8,0,0,True
1577,aimoxiu.theme.mx06e05d330f046e220d8202e09c13aaba,1,0,0,0,0,1,0,5,8,4,0,False
1578,com.heroapp.foodmenu,6,1,0,1,0,1,0,2,7,0,0,True
1579,android.jdzs.isnzxznxccom,2,0,1,2,0,2,4,2,7,0,0,True
1580,com.fanta.services,5,0,3,3,1,5,0,8,13,6,0,True
1581,com.BambooCrafts.hamstudio,3,0,0,0,0,1,8,2,2,2,0,True
1582,com.magnet.torrent.cat,8,2,3,5,0,4,0,6,13,3,0,True
1583,com.DrawingCartoons.asolelek,3,0,0,0,0,1,4,2,2,2,0,True
1584,audio,3,0,0,0,0,1,0,6,5,4,0,False
1585,com.AADevelopers.thermometersABB15F569371AB3B4CA2665476C585F04ACE1B72,5,0,0,0,0,1,17,3,1,1,0,False
1586,com.main.hahaDF74A40FA8EB6698D8DEA4484B90168124A92396,6,0,2,2,0,4,10,5,10,5,0,True
1587,com.PanduanTipsMenjagaKehamilan.MoveOnApps,3,0,0,0,0,1,4,2,2,2,0,False
1588,app.MaheshwariMahaSangh,2,0,0,0,0,1,0,2,7,1,0,False
1589,com.LearnKids.ChildrenSongs,10,0,0,0,0,1,10,5,6,3,0,False
1590,com.forever.smart.cover,13,0,7,6,0,12,0,2,10,0,0,True
1591,balmjurqewgames.kdfartsdffooiu,2,0,1,1,0,2,5,5,10,3,0,True
1592,cavlak.com.cavlak,2,0,1,1,0,1,6,9,6,4,0,False
1593,air,2,0,0,0,0,1,2,4,5,3,0,False
1594,com.colanotes,37,3,1,2,0,7,2,6,12,2,0,False
1595,com.alleysoft,3,0,1,0,0,1,0,2,4,3,3,False
1596,br.com.mosaicweb.horariosonibuscampinagdosulequatrobarras,51,0,0,0,0,1,14,4,1,0,0,False
1597,com.lukelast.quickHJDKF,4,0,1,1,0,2,0,2,8,0,0,True
1598,com.fpuoweek.android.ShoDo,4,0,1,1,0,1,0,2,2,0,0,True
1599,com.LeatherPumpsDesigns.prakasapp,3,0,0,0,0,1,8,2,2,2,0,True
1600,com.appzbv,6,0,0,0,0,1,11,4,4,3,0,False
1601,com.biaolmedomodas,1,0,0,0,0,1,1,1,2,0,0,False
1602,colorsoft.zuowen,11,0,2,3,1,4,11,9,15,6,0,False
1603,autoescuelaeuromotor,4,0,1,1,1,3,5,5,11,5,0,False
1604,cobnm.fwefsssdewge.dfgwdfddea,6,0,2,3,0,5,2,6,21,6,0,True
1605,com.automobile.wallpapers,3,0,0,1,0,1,7,4,3,2,0,False
1606,com.iwalking.main,3,0,3,3,0,8,0,3,11,0,0,True
1607,com.blogspot.myandroidapps4u,8,0,1,0,0,2,17,5,6,6,0,False
1608,com.narasimata.najwashihab,2,0,0,0,0,1,7,2,4,3,0,True
1609,com.bkzl,2,0,3,1,0,15,0,0,30,0,0,False
1610,com.app,1,0,0,0,0,1,1,1,3,0,0,False
1611,andhamil.droid.enmanidhaththinnigal,2,0,0,0,0,1,11,3,4,1,0,False
1612,appinventor.ai_eburt2015.Aztech,3,0,0,0,0,1,30,7,5,3,0,True
1613,com.aniapps.proverbios,1,0,0,0,0,1,4,2,3,1,0,False
1614,com.free.appdownload,1,0,0,0,0,1,0,2,7,2,0,True
1615,com.personalities.vicepresident,0,0,1,2,0,6,0,6,13,1,0,True
1616,cn.com.lw.R_20_baskerball,6,0,0,1,0,2,5,8,14,7,1,True
1617,com.andromo.dev560612,2,0,0,0,0,1,10,4,1,1,1,False
1618,com.ficgs.blindfoldchess6BD0167C3A0B3B11466160672DF9D79DA6C468DB,1,0,0,0,0,1,0,0,4,0,0,True
1619,com.chicville.communication,1,0,0,0,0,1,0,1,7,1,0,True
1620,com.aliencalculatorpro,2,0,0,0,0,1,1,5,5,4,0,False
1621,com.abcmarket,1,0,0,0,0,1,0,0,1,0,0,False
1622,com.ecapycsw.myonetocxve,2,0,1,1,0,2,0,2,10,1,0,True
1623,com.lock.screen.cool.door.pstr,5,0,2,2,0,4,3,7,23,10,5,True
1624,app.henrychuang,5,0,0,0,0,1,4,6,2,2,0,False
1625,com.betterdict.tinyslen,7,0,0,0,0,1,14,7,8,5,0,True
1626,com.ifeng.compass,3,0,1,3,0,3,5,7,11,4,0,True
1627,com.camineo,3,1,0,0,0,1,0,3,12,5,3,False
1628,appinventor.ai_najih94izzan.WHITNEYHOUSTON,3,0,0,0,0,1,35,8,4,4,0,False
1629,be.appsolution.knack,4,1,4,5,0,5,15,5,8,4,0,False
1630,com.goyal.kidsshoes,2,0,0,0,0,1,7,2,6,3,0,True
1631,ay,12,0,0,0,0,1,9,7,4,3,0,False
1632,com.bigi,1,0,0,0,0,1,12,3,3,1,0,False
1633,com.NoLimitLimousines,2,0,0,0,0,1,6,3,3,1,2,False
1634,com.in.italy,1,0,0,0,0,1,0,0,7,0,0,True
1635,amkabqj.kavs.xdqxt.ojhr.nwmc,22,1,11,17,4,26,2,13,43,10,0,False
1636,com.lexing.gamedetective,5,1,1,3,0,2,0,2,7,0,0,True
1637,com.appstrand,1,0,0,0,0,1,8,3,2,1,0,False
1638,com.qclmzdmv.jpommsyb,10,0,5,4,3,19,0,11,43,9,0,True
1639,aezjeb.pktewef.dlbrakd.urttd.qphs,22,1,11,17,4,26,2,13,43,10,0,False
1640,com,2,0,1,0,0,1,12,3,4,2,0,False
1641,com.app.generic1988A14AB4AE6E70D03F3B305AF7586AB453E3D9A,1,0,7,7,0,2,14,10,12,3,0,True
1642,com.a35670740950bdd54d48aec8a,12,0,1,2,0,5,2,8,16,8,2,False
1643,com.fatesky.voaEA1DBBA69F0FE0ACC69A909CCABF3FC602FF6209,17,0,2,3,0,8,0,2,12,0,0,True
1644,be.mobileevolution,2,0,1,1,0,4,6,3,3,2,0,False
1645,com.decad3nce,8,0,4,1,0,7,4,10,15,7,0,False
1646,cn.yystudio.wifihelper_cn,17,0,1,5,0,6,0,2,17,0,0,False
1647,com.andromo.dev50010,20,0,0,0,0,1,4,3,2,2,1,False
1648,com.in.finland,1,0,0,0,0,1,0,0,7,0,0,True
1649,by.aangurets,3,1,1,1,0,2,2,3,3,2,0,False
1650,com.TrikMenjagaKesehatanMata.sutriyanidroid,3,0,0,0,0,1,8,2,2,2,0,True
1651,com.adeirfandi,3,0,0,0,0,1,8,2,2,2,0,False
1652,com.blackmarket,8,0,0,0,0,1,5,4,2,1,0,False
1653,com.mybestgame2mbg.app1,10,0,0,0,0,1,26,8,0,0,0,True
1654,com.android.littleC4645FC45A84570DA608F8DE4485BD3E8D46EE99,4,0,3,1,0,9,0,0,19,0,0,True
1655,com.edadao.ccj,20,2,2,4,0,4,0,2,17,0,2,True
1656,com.qiuqiu.tang,7,0,0,0,0,1,17,7,5,2,1,True
1657,com.chumuban.gws.bsd.unblock,6,0,0,6,0,1,0,6,9,3,0,True
1658,com.FFdearapp.DGNshoudian,11,0,2,0,0,3,0,3,11,0,2,True
1659,an,3,0,1,1,10,2,4,6,3,3,0,False
1660,com.TipsSehatHamilMuda.sutriyanidroid,3,0,0,0,0,1,8,2,2,2,0,True
1661,adwqbpbhy.vpqhcngt.u,3,0,6,4,1,9,0,10,25,4,0,True
1662,com.bollywoodtrivia,2,0,0,0,0,1,4,5,3,1,0,False
1663,com.freepokemon.go.android.guide,3,0,0,0,0,1,8,4,4,2,0,True
1664,beuseful.punching_machine,4,0,0,0,0,1,15,4,2,2,0,False
1665,com.daily,10,0,12,5,2,14,5,10,17,8,0,False
1666,com.bzy.tpxf2A4217D360373C5CA1BB6A5C1C062DE1A7CA78C9,3,1,1,2,0,3,4,4,9,3,0,True
1667,com.jnwkk06.nyx,1,1,1,1,0,9,0,1,9,0,2,True
1668,appinventor.ai_indianplans.IndianPlans,4,0,0,0,0,1,27,7,9,5,0,False
1669,com.ayasofyatasarim,2,0,0,0,0,1,12,2,1,1,0,False
1670,bolux.wmwatch,0,0,0,0,0,0,0,2,0,0,0,False
1671,ba.efmradio,1,0,0,0,1,1,9,3,4,2,0,False
1672,c.cc,1,2,1,1,0,9,4,7,18,9,2,True
1673,com.newminisevenqiosof.gongjiao,7,0,1,4,0,3,3,6,14,4,0,True
1674,com.pssvnkkbd.cbgkjyshv,4,0,1,1,0,4,0,5,17,3,0,True
1675,com.EasyFlowerDesigns,3,0,0,0,0,1,4,2,2,2,0,True
1676,cgtyhfxi.ocowkf.bxnllcmj,6,0,23,22,6,46,0,14,47,10,0,False
1677,com.awspricechecker,8,0,0,0,0,2,0,5,13,6,0,False
1678,aimoxiu.theme.mxccc19d639959a091267c6e222a7bf673,1,0,0,0,0,1,0,5,8,4,0,False
1679,com.app,2,0,0,0,0,1,7,3,3,2,0,False
1680,com.CoderBro.rounak.a8085instructionhandbook,9,0,0,0,0,1,13,4,2,2,0,False
1681,com.br,7,0,0,1,1,1,12,5,3,3,0,False
1682,com.elfswipe89E38542319BF79EEFE1A09FB8424201A736F54E,7,1,3,5,0,10,12,7,15,5,1,True
1683,com.docsuggest_doc_n_h_tandon,1,0,0,0,0,1,11,7,10,5,0,False
1684,com.LehengaDesigns.bendolapps2,3,0,0,0,0,1,4,2,2,2,0,True
1685,com.BabyShoesDesign.Tarra,3,0,0,0,0,1,4,2,2,2,0,True
1686,com.dukahuru,2,0,0,0,1,1,5,6,5,4,0,True
1687,com.biggianlu,3,0,1,1,0,3,5,2,4,3,0,False
1688,com.bjzykj,31,0,6,2,2,15,12,9,27,12,0,False
1689,com.clerdcnl,10,0,5,4,3,19,0,11,43,9,0,False
1690,com.nativedroid.xpaper,2,0,1,3,0,8,5,7,17,6,0,True
1691,com.andromo.dev245803,9,1,1,5,0,9,1,4,5,3,1,False
1692,com.bysczh,3,0,1,1,0,2,0,1,15,0,0,False
1693,com.Bdappsmarket,45,1,3,2,0,5,5,4,5,3,0,False
1694,com.DIYBraceletIdeas,3,0,0,0,0,1,4,2,2,2,0,False
1695,appinventor.ai_skyblue_enterprises,2,0,0,0,0,1,0,0,2,1,0,False
1696,com.aitype.android.theme.pg_goblin,8,0,4,2,1,9,2,7,12,5,0,False
1697,com.charles,19,0,7,6,0,15,0,3,22,0,1,False
1698,com.andromo.dev186786,7,1,0,1,0,1,0,3,2,1,1,False
1699,com.appmk.book,6,0,0,0,0,3,0,0,7,1,0,False
1700,com.KidCraftProjectIdeas.laurentapp,3,0,0,0,0,1,4,2,2,2,0,True
1701,baro7009,16,0,0,0,1,1,0,1,8,1,0,False
1702,appinventor.ai_an1dres,3,0,0,0,0,1,30,8,3,3,0,False
1703,com.binpar,1,0,0,0,0,1,6,4,3,2,0,False
1704,com.auybbb,17,0,5,3,2,9,4,10,44,7,0,False
1705,com.alphanet.atalaias,2,0,0,0,0,1,7,2,6,1,0,False
1706,app,4,0,0,0,0,1,0,2,8,2,0,False
1707,com.alexeyool,0,0,1,0,0,3,11,2,1,0,1,False
1708,com.newminisixliu.wifiredian,2,0,1,1,0,2,3,7,14,6,0,True
1709,cn.ssjs.yb,11,0,4,5,0,7,0,8,21,6,0,True
1710,com.clarke.agnes.benchmark,1,0,0,0,0,1,11,5,0,0,0,False
1711,appinventor.ai_ge_geethuss.Y2S,1,0,0,0,0,1,30,8,3,3,0,True
1712,appinventor.ai_davide_malu86,5,0,0,0,0,1,30,8,3,3,0,False
1713,cn.d.vdfrt.hkbCBAE2DAC8AFAC7FD3728D7398FEEAA786F087E0D,28,0,0,1,2,1,3,6,16,7,0,True
1714,com.boomerang.thejoker,3,0,0,0,0,1,8,2,2,2,0,True
1715,com.ismole.game.gaoerfunewfo,4,0,1,1,0,4,4,4,9,1,0,True
1716,com.orange.onekeylockscreen,6,1,4,7,0,26,2,7,19,6,0,True
1717,com.newminisixliutw.bfesf,11,0,1,4,0,3,0,5,16,2,0,True
1718,com.PeterPaulAndMaryLyrics.fittibs,3,0,0,0,0,1,8,2,2,2,0,True
1719,com.pistals.apps.ramspeedopatsa,8,1,1,5,0,1,0,2,8,0,0,True
1720,com.applicache,19,0,2,1,0,2,8,8,12,7,0,False
1721,com.CarryDream.TWLCC,5,0,1,1,0,3,3,6,10,3,0,False
1722,com.lizhigushiDCE78FA06425ABDFE35ABA01EA3CE39FDCB7F3FD,4,0,1,1,0,2,0,2,9,0,0,True
1723,com.mensshirtdesign.yuhara,3,0,0,0,0,1,8,2,2,2,0,True
1724,air,3,1,1,1,0,4,1,4,5,3,0,False
1725,bajarang.soft.ange.engl.ish.gramm.ar,307,0,0,0,0,1,10,3,2,2,0,False
1726,com.bukuoryzaee.mylovelybrother391A99CC7B09A895EAD8C9305C9162238AB0B9F6,4,0,0,0,0,1,18,6,3,3,0,True
1727,com.customermobile.att.samsung.jack,4,0,1,1,0,6,0,4,81,5,7,True
1728,com.qmtiku.categoryId_61,26,0,3,4,0,7,0,6,17,3,0,True
1729,amv.vhgliq.yknsth,8,0,3,6,0,12,0,1,33,0,1,True
1730,cn.tanlifa.kuai,2,0,0,1,0,1,4,6,7,3,0,True
1731,com.a8327565525338b3088e22c4a,7,0,0,0,0,1,16,7,7,5,2,False
1732,com.kq.kq36.cn4B5DFBB8901095C5E7274AED2443DA13B315560A,8,1,3,5,0,13,0,2,20,0,0,True
1733,appinventor.ai_nikoom2.DJNORE,1,0,0,0,0,1,28,7,5,4,0,False
1734,appinventor.ai_indiamarketings.Nucart,1,0,0,0,0,1,30,8,3,3,0,True
1735,com.mx.screen.lockED763E13D2F7522C5178316CA47B77F7006585A4,11,0,1,3,0,11,0,1,12,2,0,True
1736,com.audiocassetttelivewallpaper1813767,7,0,1,2,0,4,17,7,8,4,1,True
1737,com.charcol.sling.fhfksnfs,7,0,3,3,0,2,3,5,7,1,0,True
1738,com.CeramicFloorDesign,3,0,0,0,0,1,4,2,2,2,0,False
1739,com.TrendyHairStyleIdea.myapp,3,0,0,0,0,1,4,2,2,2,0,True
1740,com.androiduygulamaoid.blogspot,20,0,0,0,0,1,4,4,6,5,0,False
1741,com.BuildingBlocks,3,0,0,0,0,1,12,2,2,2,0,False
1742,com.lt.lighting,24,0,2,3,0,15,0,6,16,3,1,True
1743,com.diananic.thejoker,3,0,0,0,0,1,9,3,2,2,0,True
1744,com.cancon,3,0,0,0,0,1,4,3,4,2,0,False
1745,com.ling.ledF9A141F52B139D390A88E87B156E62190EE1210D,2,0,2,2,0,10,0,2,24,0,0,True
1746,com.auybbb.ayyhop,17,0,5,3,2,9,4,10,44,7,0,True
1747,com.DIYButtonCraftIdeas,3,0,0,0,0,1,4,2,2,2,0,False
1748,com.customermobile.att.lg.phoenix2,4,0,1,1,0,6,0,4,81,5,7,True
1749,bass.equalizer,11,0,29,1,0,90,2,6,10,2,0,True
1750,com.qmtiku.categoryId_20147F8683E1EAB3F35AC5C4D066C61D103ABA6044,26,0,3,4,0,7,0,6,17,3,0,True
1751,com.andromo.dev142037,27,0,0,0,0,1,4,3,2,2,1,False
1752,cn.uujian.offbrowser,6,0,0,1,0,1,0,2,4,0,0,True
1753,com.qianbian.touxiang,7,0,0,0,0,1,0,6,8,3,0,True
1754,com.ezzebd.androidassistant4F7CAAAF15089BB076FACFED2F9B6292F674E9B4,12,0,8,9,0,11,4,9,27,15,0,True
1755,com.hhhzandroid.play,24,0,3,2,1,11,13,9,8,6,1,True
1756,com.andromo.dev137436,3,0,1,2,0,9,1,4,4,3,1,False
1757,appinventor.ai_hiyalcin,4,0,0,0,0,1,22,8,5,4,0,False
1758,com.acetekdroid.mlb,25,0,0,0,0,1,4,3,4,3,0,False
1759,com.KoKtecs.Recorder,7,1,5,3,0,11,0,3,12,0,0,True
1760,com.gucdxj.iwj.hihdfs,5,0,2,3,0,5,0,2,9,0,0,True
1761,com.douyinyy,5,0,0,0,0,2,0,6,23,3,0,False
1762,com.musicchitss,3,0,0,0,0,2,10,7,4,3,0,True
1763,br.com.altairsossai,3,0,0,0,0,1,11,2,0,0,0,False
1764,com.ouxm.ewnq.hrco,14,0,3,2,0,10,3,7,22,5,1,True
1765,com,48,0,3,3,0,8,9,10,14,8,0,False
1766,app.pnd.fourg,11,0,1,1,0,3,13,7,8,4,0,False
1767,com.mitsbiotech.mcbi,2,0,0,0,0,1,8,2,2,2,0,True
1768,com.moto.game,3,0,1,1,0,2,3,2,8,0,0,True
1769,baseball.mom,1,0,0,0,0,1,4,2,1,0,0,False
1770,com.app,4,0,0,0,0,1,10,3,3,2,0,False
1771,com.TouchApps.soundmeter.decible.levelmeter,6,0,0,0,0,1,7,6,10,7,0,True
1772,com.andro,2,0,0,0,0,1,7,2,6,3,0,False
1773,br.com.openpizza,2,0,0,0,0,1,7,2,2,1,0,False
1774,com.poipoipo.xmwn,2,0,1,1,0,2,0,1,11,1,0,True
1775,cn.gamedog.buildingfactorybox,46,0,6,7,2,16,19,11,15,8,0,True
1776,com.adsmom.snipe,8,0,0,0,0,1,15,5,3,3,0,False
1777,cn.oldbean.counter,1,0,2,2,0,3,11,5,7,3,0,False
1778,apps.infinite.cuckooclocksound,6,0,0,0,0,1,15,4,2,2,0,False
1779,cn.chenfei.zhaozhezhu,6,0,0,1,0,2,0,2,12,0,0,True
1780,ar.gob.anses.procrear,2,0,0,0,0,1,6,4,2,1,0,False
1781,appinventor.ai_kan_sir_king.F4ChemAtomsphere,7,0,0,0,0,1,30,7,4,3,0,True
1782,ar.com.indiesoftware,25,1,9,9,0,15,1,4,9,2,0,False
1783,br.com.dcgames,2,0,0,0,0,1,9,2,5,2,0,False
1784,com.inet,2,0,2,1,0,6,0,1,10,0,0,True
1785,android.thms.mjsass,33,1,2,3,0,8,0,2,8,0,0,True
1786,com.dartmouthhitchcock,71,0,0,0,0,3,0,6,16,5,10,False
1787,com.ablutionprosedure.jendral88,3,0,0,0,0,1,9,3,2,2,0,True
1788,com.abuhuzayma,7,0,1,1,1,1,9,3,3,3,0,False
1789,com.appsoft4u,6,0,0,0,1,1,12,5,6,3,0,False
1790,com.guidedlssoccergame.taiballmunmun,4,0,0,0,0,1,8,3,2,2,0,True
1791,com.qmtiku.categoryId_17,26,1,3,4,0,7,0,6,18,3,0,True
1792,com.binaamart,1,0,0,0,0,1,0,0,6,0,0,False
1793,com.laguopick.bahari,3,0,0,0,0,1,8,2,2,2,0,True
1794,com.huituoluo34.gznroflb,6,0,5,8,0,18,0,6,50,7,0,True
1795,appinventor.ai_zuxi_w13,4,0,1,0,0,3,18,8,12,6,0,False
1796,com.jpioiea.HLguessCMYE9D380BC541CE30706D9B4291085979CB6EE9217,10,1,2,2,0,3,0,3,8,0,0,True
1797,com.karthik.fatjgfmngl,8,0,1,1,0,2,0,3,9,1,0,True
1798,com.AlbumLinkinParkRemix.sidikldroid,3,0,0,0,0,1,8,2,2,2,0,True
